quarter_key,year,quarter,call_date,source
2011_Q1,2011,Q1,2011-04-14,manual
2011_Q2,2011,Q2,2011-07-14,manual
2011_Q3,2011,Q3,2011-10-18,manual
2011_Q4,2011,Q4,2012-01-19,manual
2012_Q1,2012,Q1,2012-04-13,transcript
2012_Q2,2012,Q2,2012-07-26,manual
2012_Q3,2012,Q3,2012-10-18,manual
2012_Q4,2012,Q4,2013-01-17,manual
2013_Q1,2013,Q1,2013-04-18,manual
2013_Q2,2013,Q2,2013-07-18,manual
2013_Q3,2013,Q3,2013-10-17,manual
2013_Q4,2013,Q4,2014-01-16,manual
2014_Q1,2014,Q1,2014-04-17,manual
2014_Q2,2014,Q2,2014-07-17,manual
2014_Q3,2014,Q3,2014-10-16,manual
2014_Q4,2014,Q4,2015-01-15,manual
2015_Q1,2015,Q1,2015-04-16,manual
2015_Q2,2015,Q2,2015-07-16,manual
2015_Q3,2015,Q3,2015-10-15,manual
2015_Q4,2015,Q4,2016-01-14,manual
2016_Q1,2016,Q1,2016-04-14,manual
2016_Q2,2016,Q2,2016-07-14,manual
2016_Q3,2016,Q3,2016-10-13,manual
2016_Q4,2016,Q4,2017-01-12,manual
2017_Q1,2017,Q1,2017-04-13,manual
2017_Q2,2017,Q2,2017-07-20,manual
2017_Q3,2017,Q3,2017-10-23,transcript
2017_Q4,2017,Q4,2018-01-18,manual
2018_Q1,2018,Q1,2018-04-19,manual
2018_Q2,2018,Q2,2018-07-19,manual
2018_Q3,2018,Q3,2018-10-18,manual
2018_Q4,2018,Q4,2019-01-17,manual
2019_Q1,2019,Q1,2019-04-18,manual
2019_Q2,2019,Q2,2019-07-18,manual
2019_Q3,2019,Q3,2019-10-17,manual
2019_Q4,2019,Q4,2020-01-16,manual
2020_Q1,2020,Q1,2020-04-16,manual
2020_Q2,2020,Q2,2020-07-16,manual
2020_Q3,2020,Q3,2020-10-15,manual
2020_Q4,2020,Q4,2021-01-14,manual
2021_Q1,2021,Q1,2021-04-15,manual
2021_Q2,2021,Q2,2021-07-15,manual
2021_Q3,2021,Q3,2021-10-14,manual
2021_Q4,2021,Q4,2022-01-13,manual
2022_Q1,2022,Q1,2022-04-14,manual
2022_Q2,2022,Q2,2022-07-14,manual
2022_Q3,2022,Q3,2022-10-13,manual
2022_Q4,2022,Q4,2023-01-12,manual
2023_Q1,2023,Q1,2023-04-20,manual
2023_Q2,2023,Q2,2023-07-20,manual
2023_Q3,2023,Q3,2023-10-19,manual
2023_Q4,2023,Q4,2024-01-18,manual
2024_Q1,2024,Q1,2024-04-18,manual
2024_Q2,2024,Q2,2024-07-18,manual
2024_Q3,2024,Q3,2024-10-17,manual
2024_Q4,2024,Q4,2025-01-16,manual
2025_Q1,2025,Q1,2025-04-17,manual
2025_Q2,2025,Q2,2025-07-17,manual
2025_Q3,2025,Q3,2025-10-16,manual
2025_Q4,2025,Q4,2026-01-15,manual
2026_Q1,2026,Q1,2026-04-17,manual
